id,answer
1,5
2,7
3,2
4,6
5,6
6,8
7,1
8,4
9,2
10,7
11,4
12,1
13,2
14,4
15,7
16,1
17,9
18,5
19,2
20,2
21,3
22,6
23,2
24,1
25,9
26,6
27,9
28,2
29,4
30,3
31,4
32,2
33,8
34,5
35,3
36,2
37,8
38,9
39,9
40,8
41,6
42,9
43,4
44,1
45,2
46,1
47,2
48,2
49,1
50,9
51,7
52,2
53,9
54,9
55,9
56,9
57,9
58,9
59,9
60,10
61,7
62,10
63,10
64,5
65,3
66,7
67,6
68,1
69,2
70,8
71,4
72,7
73,4
74,9
75,6
76,5
77,3
78,7
79,6
80,7
81,6
82,6
83,4
84,5
85,4
86,3
87,7
88,3
89,4
90,5
91,4
92,4
93,5
94,4
95,4
96,3
97,7
98,5
99,4
100,9
